,Country,ISO3,Specie,Breed/Most common name,Language,Description,Transboundary name,Other name,Provision Uses,Regulation and Maintenance Uses,Cultural Uses,Description Of Specific Uses,Production environment/management systems,Literature related to uses and ecosystem services,Additional information,Additional information comments,Efabis cultural role comment,Efabis cultural value,Adaptability to specific environment,Specific resistance or tolerance,Specific reproductive characteristic,Special characteristic of product,Other special qualities,Reference for special qualities,Efabis genetic features,Efabis environmental role,Efabis adaptability to marginal land,Body conformation,Coat description,Coat quality,Comb type,Skin colour,Shank and foot colour,Plumage colour,Pattern within feather,Avian classification,Color comments,Efabis main colour,Efabis skin colour,Number of horns males,Number of horns females,Horn shape size and comments,Wither height males,Wither height females,Weight males,Weight females,Breed classification (adaptedness),Herdbook,Herdbook established,Domestication status,Taxonomic classification,Description of origin,Year of origin,Import,Location within country,Eggs per year AVG,Eggs per year MIN,Eggs per year MAX,Egg weight,Wool or hair,Wool type,Fleece weight AVG,Fleece weight MIN,Fleece weight MAX,Fibre diam,Management system,Feeding of adults,Mobility,Milk per year AVG,Milk per year MIN,Milk per year MAX,Lactation length (day) AVG,Lactation length (day) MIN,Lactation length (day) MAX,Milk yield per lactation (kg) AVG,Milk yield per lactation (kg) MIN,Milk yield per lactation (kg) MAX,Milk fat AVG (%),Milk fat MIN (%),Milk fat MAX (%),Milk per day (kg),Number of lactations,Efabis milk protein AVG,Efabis milk protein MIN,Efabis milk protein MAX,Birth weight males,Birth weight females,Age maturity males,Age maturity females,Age breeding males,Age breeding females,Age first parturition (month) AVG,Age first parturition (month) MIN,Age first parturition (month) MAX,Parturition interval (day) AVG,Parturition interval (day) MIN,Parturition interval (day) MAX,Length productive life (years),Daily gain,Carcass weight (kg),Dressing percentage (%),Performance data reference,Managment conditions performance measured,Comments managment conditions,Additional performance parameters,Litter size AVG,Litter size MIN,Litter size MAX,Geographical classification,Local cryo conservation status,Local Risk,Detailed local risk status,Regional Transboundary Risk (detailed),International Transboundary Risk (detailed),Young per year AVG (number),Adult weight AVG (kg),Adult weight AVG (g),Birth weight AVG (kg),Birth weight AVG (g),Young mass per year AVG (kg),Young mass per year AVG (g)
2,Afghanistan,AFG,Cattle,Kandahari,,,,,Milk,,,,,,,,,,,,, ,,,,,,,,,,,,,,,"multi coloured: mainly black, frequently with white spots on the abdomen, udder, head and sides of body, light grey animals are also observed",,,2,2,long horns,,,360.0,300.0,,,,domestic,breed,,,,Kandahar province,,,,,,,,,,,,,,,,,183.0,,,,1200.0,2000.0,,3.4,4.0,,,,,,,,,,,,,,,448.0,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,330.0,330000.0,,,,
4,Afghanistan,AFG,Cattle,Kunari,,,,Kunary,Milk,,,,,,,,,,,resistant to infectious diseases,, ,,,,,,,,,,,,,,,"multi coulour: the main coat color is reddish-brown, dark red and white or black and white are also observed",,,0,0,,,100.0,225.0,185.0,,,,domestic,breed,indigenous breed,,,mountainous provinces,,,,,,,,,,,,,,,,,230.0,,,,1000.0,1500.0,,4.0,6.0,,,,,,,,,,,,,,,380.0,,,,,,,,,in summer they are kept in a transhumant system at altitudes of 1500-2000 m,,,,,local,No Information,unknown,unknown,,,,205.0,205000.0,,,,
6,Afghanistan,AFG,Cattle,Sistani,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,multi coloured: various such as grey and light brown,,,0,0,,,,325.0,225.0,,,,domestic,breed,indigenous breed,,,found in Systan Lake near the border between Afghanistan and Iran,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,275.0,275000.0,,,,
7,Afghanistan,AFG,Cattle,Watani,,,,,Milk,,,,,,,,,,,,, ,,,,,,,,,,,,,,,"multi coloured: black, red, roan, brown, white",,,0,0,,,117.0,290.0,225.0,,,,domestic,breed,resultant of crossbreeding between Kandahari and Kunari cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.0,3.5,,,,,,,,,,,,,,,350.0,380.0,,,,,,,,,,,,local,No Information,unknown,unknown,,,,257.5,257500.0,,,,
10,Afghanistan,AFG,Chicken,Kulangi,,,,,,,Fighting,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,domestic,breed,some believe that the Kulangi type of poultry is the result of crossbreeding of improved poultry breeds of France with local poultry breeds,,,Northern areas,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,4.0,4000.0,,,,
11,Afghanistan,AFG,Chicken,Pusty,,,,Pusti,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,1.25,1.25,,,,domestic,breed,indigenous breed,,,,,80.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,1.25,1250.0,,,,
12,Afghanistan,AFG,Chicken,Sabzwari,,,,,Eggs,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,domestic,breed,indigenous breed,,,"northern provinces of Afghanistan, especially in Balkh province",,100.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,1.5,1500.0,,,,
15,Afghanistan,AFG,Goat,Asmari,,,,Gujeri,PackBaggage,,,,,,,,,,,,, ,,,,,,,,,,,,,,,"uni coloured: white, pied or coloured <br>comment: white face and body and black neck and shoulders",,,2,2,,,,70.0,53.0,,,,domestic,breed,"Kunar province, Asmar district",,,,,,,,,,,0.5,0.7,,,,,,,,120.0,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,61.5,61500.0,,,,
16,Afghanistan,AFG,Goat,Cheeli,,,,,Milk,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,0,0,,,,80.0,60.0,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,70.0,70000.0,,,,
33,Afghanistan,AFG,Sheep,Afghan Arabi,,,,,Wool,,,,,,,,,,,,birth rate is 65-80 % with 0-2% twinning, ,,,,,,,,,,,,,,,uni coloured: majority of Arabi sheep are black with a characteristic white stripe along the forehead but brown and white Arabi also occur,,,0,0,,,48.0,,,,,,domestic,breed,indigenous breed,,,northern Provinces,,,,,wool,coarse/carpet,1.45,1.2,1.7,,,,,,,,,130.0,140.0,50.0,45.0,55.0,,,,,,,,,,,,,,,,,,,,,,160.0,,,N6-10,,,,,,,local,No Information,unknown,unknown,,,,,,,,,
